title,genre,2021,2022,2023,2024,2025,2026,image
Sexify,Drama,0,0,2.3,0,0,0,https://image.tmdb.org/t/p/w200/ax6drolOwyt6jaWsTBpBHWygxfm.jpg
Sexo/Vida,Drama,3.4,0,0,0,0,0,https://image.tmdb.org/t/p/w200/7xKl8dPErKtu3wY41dWPnF2IhmC.jpg
Si lo hubiera sabido,Sci-Fi & Fantasy,0,0,0.5,0,0,0,https://image.tmdb.org/t/p/w200/r4RsxyfjWHH9l62fFB891H8fWed.jpg
Siempre el mismo día,Drama,0,0,0,6.1,0,0,https://image.tmdb.org/t/p/w200/6lueWyOqpw59hSTuQnzteGdRB7x.jpg
Sky Rojo,Action & Adventure,3.4,0,0,0,0,0,https://image.tmdb.org/t/p/w200/uTFX9V2dct1nKjG6zhNiThPm8Tp.jpg
Soulmates,Sci-Fi & Fantasy,0,0,0,0,2.1,0,https://image.tmdb.org/t/p/w200/g2mvINQCGACb9sswdKXh1KwpwzB.jpg
Stranger Things,Sci-Fi & Fantasy,0,12.2,0,0,4.3,4.1,https://image.tmdb.org/t/p/w200/1sRJ8D1vpXE5WQBGrUBky3uUwvX.jpg
That '90s Show,Comedy,0,0,3.3,0,0,0,https://image.tmdb.org/t/p/w200/48oKRF82zU9mqM8lxgsuqvQLubs.jpg
The Circle,Reality,11.5,4.1,0,0,0,0,https://image.tmdb.org/t/p/w200/fC79Ivm0FpGm10H9tsZ867B91vy.jpg
Tú no eres especial,Comedy,0,0,3.4,0,0,0,https://image.tmdb.org/t/p/w200/mol99NhNlwNMcQs5vExIIXzpe3Q.jpg
Un cuento perfecto,Comedy,0,0,3.4,0,0,0,https://image.tmdb.org/t/p/w200/rX5L513FbD2n9qKjBYE3koRrWR9.jpg
Un hombre infiltrado,Comedy,0,0,0,3.6,4,0,https://image.tmdb.org/t/p/w200/xRT8o1Tj7EdstCH7f2Ham4ugCFI.jpg
Valeria,Comedy,10.6,0,5.1,0,4,0,https://image.tmdb.org/t/p/w200/9WN7hVLAx7LEhLn5ZPylUEghM4m.jpg
"Veinticinco, veintiuno",Drama,0,1,0,0,0,0,https://image.tmdb.org/t/p/w200/706Ar36Q1XT3056JQHoYpJbh6W0.jpg
Vinagre de manzana,Drama,0,0,0,0,5.9,0,https://image.tmdb.org/t/p/w200/1SLDYE2vagOo7G1iDtnHIUWbH3T.jpg
Vladimir,Drama,0,0,0,0,0,3.4,https://image.tmdb.org/t/p/w200/3wb2cOXlWan1oMXMw3TgkEVkQqM.jpg
Workin' Moms,Comedy,3.5,4.6,1.4,0,0,0,https://image.tmdb.org/t/p/w200/700rda5z8fnXBzGkK95bL7F3wjT.jpg
Yo nunca,Drama,4.5,4.3,4.5,0,0,0,https://image.tmdb.org/t/p/w200/4qc9dA6ZeTFVxKfYQrv5EvzVwqo.jpg
You,Mystery,7.9,0,0.7,0,0,0,https://image.tmdb.org/t/p/w200/30vdq2GJKUgYW3utQnXDOiE6tvn.jpg
Zac Efron,Documentary,0,0.7,0,0,0,0,https://image.tmdb.org/t/p/w200/6bV0xV1M0Snvj43vgJHWw8N9cNt.jpg
Él y ella,Comedy,0,0,0,0,0,4,https://image.tmdb.org/t/p/w200/km7Tj519oRw5i6eU0PZR5g0RbT1.jpg
Élite,Crime,6.1,0,0,0,0,0,https://image.tmdb.org/t/p/w200/c07WqB99Igco0rua794q9k9QJYm.jpg
Merlina,Family,0,6.2,0,0,5,0,https://image.tmdb.org/t/p/w200/oJvYWuL94S4n6KAICe0sexYp3UL.jpg
En el barro,Crime,0,0,0,0,6.6,5.1,https://image.tmdb.org/t/p/w200/xJCzIdSHV0d5lwbhaCWldlikKdU.jpg
The Bold Type,Drama,31.3,0,0,0,0,0,https://image.tmdb.org/t/p/w200/cKloQpl6zE7kdFf8SUeYU2qPT9H.jpg
Wellmania,Comedy,0,0,2.3,0,0,0,https://image.tmdb.org/t/p/w200/c3F9aMUSwQovZkpEBynxBxN3keo.jpg
Ángela,Crime,0,0,0,0,4.8,0,https://image.tmdb.org/t/p/w200/Ha9sEyjogHIz8ZdQO8gSIvsx6q.jpg
